size_bytes,time_s
0.0,0.0
1024.0,0.013192
2048.0,0.015033
3072.0,0.013661
4096.0,0.01303
5120.0,0.015766
6144.0,0.014936
7168.0,0.014404
8192.0,0.014094
9216.0,0.014444
10240.0,0.013902
11264.0,0.013471
12288.0,0.01358
13312.0,0.013438
14336.0,0.013166
15360.0,0.01312
16384.0,0.013322
17408.0,0.01315
18432.0,0.012914
19456.0,0.012895
20480.0,0.013257
21504.0,0.012948
22528.0,0.012828
23552.0,0.012768
24576.0,0.013077
25600.0,0.012838
26624.0,0.012715
27648.0,0.012661
28672.0,0.01311
29696.0,0.012688
30720.0,0.012858
31744.0,0.012648
32768.0,0.012891
33792.0,0.012669
34816.0,0.012642
35840.0,0.012568
36864.0,0.013404
37888.0,0.012871
38912.0,0.013188
39936.0,0.01295
40960.0,0.013901
41984.0,0.013858
43008.0,0.012685
44032.0,0.012678
45056.0,0.013204
46080.0,0.013334
47104.0,0.012923
48128.0,0.01284
49152.0,0.012896
50176.0,0.013175
51200.0,0.013145
52224.0,0.013022
53248.0,0.01373
54272.0,0.013507
55296.0,0.012758
56320.0,0.012972
57344.0,0.013143
58368.0,0.013194
59392.0,0.012769
60416.0,0.013057
61440.0,0.012895
62464.0,0.012752
63488.0,0.012801
64512.0,0.012984
65536.0,0.012906
66560.0,0.013209
67584.0,0.013056
68608.0,0.013511
69632.0,0.012845
70656.0,0.01298
71680.0,0.012804
72704.0,0.013431
73728.0,0.012931
74752.0,0.012931
75776.0,0.013896
76800.0,0.014195
77824.0,0.013021
78848.0,0.012822
79872.0,0.012923
80896.0,0.013105
81920.0,0.012816
82944.0,0.012921
83968.0,0.013112
84992.0,0.012976
86016.0,0.01296
87040.0,0.013009
88064.0,0.013049
89088.0,0.013365
90112.0,0.012883
91136.0,0.012754
92160.0,0.012998
93184.0,0.012828
94208.0,0.012704
95232.0,0.012738
96256.0,0.013056
97280.0,0.013106
98304.0,0.012924
99328.0,0.012978
100352.0,0.013093
101376.0,0.01284
102400.0,0.012767
103424.0,0.012855
104448.0,0.013059
105472.0,0.012971
106496.0,0.012829
107520.0,0.012812
108544.0,0.013084
109568.0,0.012828
110592.0,0.012724
111616.0,0.012763
112640.0,0.01302
113664.0,0.012775
114688.0,0.012815
115712.0,0.012989
116736.0,0.013244
117760.0,0.012754
118784.0,0.013157
119808.0,0.013135
120832.0,0.013088
121856.0,0.013083
122880.0,0.012731
123904.0,0.013057
124928.0,0.013037
125952.0,0.012804
126976.0,0.012757
128000.0,0.013217
129024.0,0.012769
130048.0,0.012924
131072.0,0.01284
132096.0,0.013169
133120.0,0.012759
134144.0,0.012784
135168.0,0.012754
136192.0,0.013091
137216.0,0.012827
138240.0,0.012793
139264.0,0.012793
140288.0,0.013153
141312.0,0.013096
142336.0,0.013186
143360.0,0.012969
144384.0,0.013461
145408.0,0.013012
146432.0,0.01331
147456.0,0.012878
148480.0,0.014505
149504.0,0.014489
150528.0,0.014383
151552.0,0.01498
152576.0,0.014814
153600.0,0.015166
154624.0,0.015211
155648.0,0.015509
156672.0,0.014736
157696.0,0.014689
158720.0,0.015028
159744.0,0.014711
160768.0,0.015966
