size_bytes,time_s
0.0,0.0
1024.0,0.012763
2048.0,0.009825
3072.0,0.008625
4096.0,0.008802
5120.0,0.007183
6144.0,0.006881
7168.0,0.00729
8192.0,0.007983
9216.0,0.007119
10240.0,0.007594
11264.0,0.005894
12288.0,0.006775
13312.0,0.007202
14336.0,0.006843
15360.0,0.006795
16384.0,0.006861
17408.0,0.006849
18432.0,0.006839
19456.0,0.006869
20480.0,0.007263
21504.0,0.007015
22528.0,0.007161
23552.0,0.006717
24576.0,0.006749
25600.0,0.006601
26624.0,0.006507
27648.0,0.006576
28672.0,0.006484
29696.0,0.006491
30720.0,0.006435
31744.0,0.006403
32768.0,0.006357
33792.0,0.006382
34816.0,0.00639
35840.0,0.006303
36864.0,0.006337
37888.0,0.006292
38912.0,0.006306
39936.0,0.006252
40960.0,0.006241
41984.0,0.006232
43008.0,0.006203
44032.0,0.006212
45056.0,0.006203
46080.0,0.006189
47104.0,0.006174
48128.0,0.006151
49152.0,0.006144
50176.0,0.006186
51200.0,0.006133
52224.0,0.006269
53248.0,0.0062
54272.0,0.006204
55296.0,0.006179
56320.0,0.006074
57344.0,0.00611
58368.0,0.00608
59392.0,0.006077
60416.0,0.006057
61440.0,0.006114
62464.0,0.006063
63488.0,0.00606
64512.0,0.006052
65536.0,0.006091
66560.0,0.006077
67584.0,0.006047
68608.0,0.006022
69632.0,0.00607
70656.0,0.006006
71680.0,0.006034
72704.0,0.006091
73728.0,0.006015
74752.0,0.006039
75776.0,0.006034
76800.0,0.006046
77824.0,0.006037
78848.0,0.005997
79872.0,0.006022
80896.0,0.006005
81920.0,0.005982
82944.0,0.005963
83968.0,0.005992
84992.0,0.005974
86016.0,0.005969
87040.0,0.006177
88064.0,0.006924
89088.0,0.006525
90112.0,0.006183
91136.0,0.006728
92160.0,0.006715
93184.0,0.005996
94208.0,0.006137
95232.0,0.006087
96256.0,0.006563
97280.0,0.006101
98304.0,0.006151
99328.0,0.006051
100352.0,0.005943
101376.0,0.005959
102400.0,0.006007
103424.0,0.005961
104448.0,0.005913
105472.0,0.005966
106496.0,0.006027
107520.0,0.005946
108544.0,0.006015
109568.0,0.005927
110592.0,0.006212
111616.0,0.00597
112640.0,0.005911
113664.0,0.005913
114688.0,0.005929
115712.0,0.005915
116736.0,0.005909
117760.0,0.005925
118784.0,0.00591
119808.0,0.006007
120832.0,0.005947
121856.0,0.005926
122880.0,0.005931
123904.0,0.005882
124928.0,0.005911
125952.0,0.005945
126976.0,0.005893
128000.0,0.005904
129024.0,0.005923
130048.0,0.005871
131072.0,0.005897
132096.0,0.005921
133120.0,0.005904
134144.0,0.005977
135168.0,0.006278
136192.0,0.006182
137216.0,0.006639
138240.0,0.006889
139264.0,0.007247
140288.0,0.007678
141312.0,0.007944
142336.0,0.008272
143360.0,0.008768
144384.0,0.009266
145408.0,0.009833
146432.0,0.010285
147456.0,0.010505
148480.0,0.010553
149504.0,0.010743
150528.0,0.010796
151552.0,0.010714
152576.0,0.010779
153600.0,0.01089
154624.0,0.010946
155648.0,0.011256
156672.0,0.011035
157696.0,0.011038
158720.0,0.011131
159744.0,0.0112
160768.0,0.011805
162816.0,0.012247
164864.0,0.011855
166912.0,0.011872
168960.0,0.012696
171008.0,0.011455
173056.0,0.011415
175104.0,0.011478
177152.0,0.011358
179200.0,0.011385
181248.0,0.011438
183296.0,0.011562
185344.0,0.011453
187392.0,0.01148
189440.0,0.01143
191488.0,0.011423
193536.0,0.011447
195584.0,0.011407
197632.0,0.011444
199680.0,0.011529
201728.0,0.011404
203776.0,0.011432
205824.0,0.011612
207872.0,0.011448
209920.0,0.011647
211968.0,0.0115
214016.0,0.011438
216064.0,0.011422
218112.0,0.011464
220160.0,0.011482
222208.0,0.011425
224256.0,0.01147
226304.0,0.011442
228352.0,0.011434
230400.0,0.011457
232448.0,0.011452
234496.0,0.011438
236544.0,0.011441
238592.0,0.011506
240640.0,0.011499
242688.0,0.011455
244736.0,0.011469
246784.0,0.012478
248832.0,0.012107
250880.0,0.011571
252928.0,0.011762
254976.0,0.011555
257024.0,0.011506
259072.0,0.01154
261120.0,0.011549
263168.0,0.01209
267264.0,0.012254
271360.0,0.011772
275456.0,0.012282
279552.0,0.01295
283648.0,0.011722
287744.0,0.011539
291840.0,0.011544
295936.0,0.011532
300032.0,0.011833
304128.0,0.011577
308224.0,0.011528
312320.0,0.011497
316416.0,0.011782
320512.0,0.011547
324608.0,0.011533
328704.0,0.011517
332800.0,0.011498
336896.0,0.011555
340992.0,0.011528
345088.0,0.011516
349184.0,0.011471
353280.0,0.011515
357376.0,0.011498
361472.0,0.011502
365568.0,0.011509
369664.0,0.011553
373760.0,0.011603
377856.0,0.011515
381952.0,0.011547
386048.0,0.011515
390144.0,0.011512
394240.0,0.011539
398336.0,0.01149
402432.0,0.011516
406528.0,0.011512
410624.0,0.011505
414720.0,0.011562
418816.0,0.011534
422912.0,0.011496
427008.0,0.011497
431104.0,0.011549
435200.0,0.011483
439296.0,0.011501
443392.0,0.011555
447488.0,0.01165
451584.0,0.01152
455680.0,0.011652
459776.0,0.011614
463872.0,0.011515
467968.0,0.011496
472064.0,0.01159
476160.0,0.011511
480256.0,0.011526
484352.0,0.011493
488448.0,0.011514
492544.0,0.011504
496640.0,0.011478
500736.0,0.011519
504832.0,0.011492
508928.0,0.011511
513024.0,0.011519
517120.0,0.011617
521216.0,0.011525
525312.0,0.011896
533504.0,0.012475
541696.0,0.011981
549888.0,0.012119
558080.0,0.01195
566272.0,0.011568
574464.0,0.012721
582656.0,0.011533
590848.0,0.01153
599040.0,0.011533
607232.0,0.011469
615424.0,0.011558
623616.0,0.011541
631808.0,0.011529
640000.0,0.011526
648192.0,0.012312
656384.0,0.011645
664576.0,0.011616
672768.0,0.011579
680960.0,0.011491
689152.0,0.011478
697344.0,0.011572
705536.0,0.01151
713728.0,0.011549
721920.0,0.011502
730112.0,0.011527
738304.0,0.011491
746496.0,0.011488
754688.0,0.011489
762880.0,0.011531
771072.0,0.011605
779264.0,0.011958
787456.0,0.011602
795648.0,0.011554
803840.0,0.011497
812032.0,0.011528
820224.0,0.011512
828416.0,0.01146
836608.0,0.011535
844800.0,0.011499
852992.0,0.01146
861184.0,0.011516
869376.0,0.0115
877568.0,0.011478
885760.0,0.011522
893952.0,0.011495
902144.0,0.011482
910336.0,0.011477
918528.0,0.011505
926720.0,0.011569
934912.0,0.011597
943104.0,0.012042
951296.0,0.011542
959488.0,0.011534
967680.0,0.01146
975872.0,0.011561
984064.0,0.011523
992256.0,0.011454
1000448.0,0.011488
1008640.0,0.011536
1016832.0,0.01149
1025024.0,0.011479
1033216.0,0.011515
1041408.0,0.011504
1049600.0,0.011479
1057792.0,0.01155
1065984.0,0.011635
1074176.0,0.011632
1082368.0,0.01151
1090560.0,0.011475
1098752.0,0.011477
1106944.0,0.011505
1115136.0,0.011515
1123328.0,0.011503
1131520.0,0.011506
1139712.0,0.011488
1147904.0,0.011556
1156096.0,0.011473
1164288.0,0.011501
1172480.0,0.0115
1180672.0,0.011518
1188864.0,0.011471
1197056.0,0.011494
1205248.0,0.011637
1213440.0,0.011527
1221632.0,0.011499
1229824.0,0.011527
1238016.0,0.01155
1246208.0,0.011554
1254400.0,0.011657
1262592.0,0.01159
1270784.0,0.01147
1278976.0,0.011489
1287168.0,0.011505
1295360.0,0.011491
1303552.0,0.011494
1311744.0,0.011503
1319936.0,0.011465
1328128.0,0.011457
1336320.0,0.011523
1344512.0,0.011583
1352704.0,0.011559
1360896.0,0.011701
1369088.0,0.01152
1377280.0,0.011505
1385472.0,0.01151
1393664.0,0.011487
1401856.0,0.01151
1410048.0,0.011798
1418240.0,0.0118
1426432.0,0.011681
1434624.0,0.011509
1442816.0,0.011455
1451008.0,0.011484
1459200.0,0.011572
1467392.0,0.011451
1475584.0,0.011752
1483776.0,0.011648
1491968.0,0.011501
1500160.0,0.011479
1508352.0,0.011496
1516544.0,0.011465
1524736.0,0.011488
1532928.0,0.011547
1541120.0,0.01149
1549312.0,0.011466
1557504.0,0.011751
1565696.0,0.011797
1573888.0,0.011822
1582080.0,0.011802
1590272.0,0.011569
1598464.0,0.013378
1606656.0,0.012125
1614848.0,0.011659
1623040.0,0.012127
1631232.0,0.011609
1639424.0,0.011686
1647616.0,0.011801
1655808.0,0.011842
1664000.0,0.011803
1672192.0,0.011787
1680384.0,0.01158
1688576.0,0.011505
1696768.0,0.011537
1704960.0,0.011529
1713152.0,0.011482
1721344.0,0.0115
1729536.0,0.01147
1737728.0,0.011487
1745920.0,0.011502
1754112.0,0.011466
1762304.0,0.011498
1770496.0,0.011716
1778688.0,0.011589
1786880.0,0.011482
1795072.0,0.011602
1803264.0,0.011509
1811456.0,0.011502
1819648.0,0.011472
1827840.0,0.011493
1836032.0,0.011532
1844224.0,0.01145
1852416.0,0.011518
1860608.0,0.011509
1868800.0,0.011452
1876992.0,0.011518
1885184.0,0.011507
1893376.0,0.011483
1901568.0,0.011581
1909760.0,0.011797
1917952.0,0.011842
1926144.0,0.011803
1934336.0,0.011802
1942528.0,0.011923
1950720.0,0.011816
1958912.0,0.01181
1967104.0,0.011867
1975296.0,0.011816
1983488.0,0.011821
1991680.0,0.011843
1999872.0,0.011562
2008064.0,0.011501
2016256.0,0.011513
2024448.0,0.011595
2032640.0,0.011658
2040832.0,0.011612
2049024.0,0.011536
2057216.0,0.011514
2065408.0,0.011493
2073600.0,0.01146
2081792.0,0.011454
2089984.0,0.011708
2098176.0,0.01178
2106368.0,0.011498
2114560.0,0.011474
2122752.0,0.011491
2130944.0,0.011475
2139136.0,0.011452
2147328.0,0.011493
2155520.0,0.011489
2163712.0,0.011546
